Date,ipca,usd_brl,m2
2000-01-01,0.62,1.8037,
2000-02-01,0.13,1.7753,
2000-03-01,0.22,1.742,
2000-04-01,0.42,1.7682,
2000-05-01,0.01,1.8279,
2000-06-01,0.23,1.8083,
2000-07-01,1.61,1.7978,
2000-08-01,1.31,1.8092,
2000-09-01,0.23,1.8392,
2000-10-01,0.14,1.8796,
2000-11-01,0.32,1.948,
2000-12-01,0.59,1.9633,
2001-01-01,0.57,1.9545,
2001-02-01,0.46,2.0019,
2001-03-01,0.38,2.089,
2001-04-01,0.58,2.1925,
2001-05-01,0.41,2.2972,
2001-06-01,0.52,2.3758,
2001-07-01,1.33,2.466,
2001-08-01,0.7,2.5106,
2001-09-01,0.28,2.6717,
2001-10-01,0.83,2.7402,
2001-11-01,0.71,2.5431,
2001-12-01,0.65,2.3627,
2002-01-01,0.52,2.3779,27239411.0
2002-02-01,0.36,2.4196,26732167.0
2002-03-01,0.6,2.3466,27191413.0
2002-04-01,0.8,2.3204,26006602.0
2002-05-01,0.21,2.4804,26996297.0
2002-06-01,0.42,2.714,28281540.0
2002-07-01,1.19,2.9346,28880966.0
2002-08-01,0.65,3.1101,30785260.0
2002-09-01,0.72,3.342,31449398.0
2002-10-01,1.31,3.8059,33073425.0
2002-11-01,3.02,3.5764,34709343.0
2002-12-01,2.1,3.6259,42281023.0
2003-01-01,2.25,3.4384,36950119.0
2003-02-01,1.57,3.5908,36187874.0
2003-03-01,1.23,3.4469,33135343.0
2003-04-01,0.97,3.1187,32455460.0
2003-05-01,0.61,2.9557,32518855.0
2003-06-01,-0.15,2.8832,31923287.0
2003-07-01,0.2,2.8798,32442835.0
2003-08-01,0.34,3.0025,33249694.0
2003-09-01,0.78,2.9228,32474440.0
2003-10-01,0.29,2.8615,33326398.0
2003-11-01,0.34,2.9138,35229376.0
2003-12-01,0.52,2.9253,42992662.0
2004-01-01,0.76,2.8518,38282671.0
2004-02-01,0.61,2.9303,37618176.0
2004-03-01,0.47,2.9055,36125291.0
2004-04-01,0.37,2.906,36863148.0
2004-05-01,0.51,3.1004,37234567.0
2004-06-01,0.71,3.1291,37829098.0
2004-07-01,0.91,3.0368,39488556.0
2004-08-01,0.69,3.0029,39046661.0
2004-09-01,0.33,2.8911,40367978.0
2004-10-01,0.44,2.8529,41498381.0
2004-11-01,0.69,2.786,42094944.0
2004-12-01,0.86,2.7182,51942749.0
2005-01-01,0.58,2.693,45276520.0
2005-02-01,0.59,2.5978,43828891.0
2005-03-01,0.61,2.7047,42784832.0
2005-04-01,0.87,2.5792,43102057.0
2005-05-01,0.49,2.4528,42443495.0
2005-06-01,-0.02,2.4135,43504601.0
2005-07-01,0.25,2.3735,44870424.0
2005-08-01,0.17,2.3606,44150933.0
2005-09-01,0.35,2.2944,45680939.0
2005-10-01,0.75,2.2565,45137713.0
2005-11-01,0.55,2.2108,47137388.0
2005-12-01,0.36,2.2855,58179315.0
2006-01-01,0.59,2.2739,49904427.0
2006-02-01,0.41,2.1619,51178720.0
2006-03-01,0.43,2.152,48628660.0
2006-04-01,0.21,2.1293,48993331.0
2006-05-01,0.1,2.1781,48562760.0
2006-06-01,-0.21,2.2483,50652361.0
2006-07-01,0.19,2.1893,51242097.0
2006-08-01,0.05,2.1559,52054839.0
2006-09-01,0.21,2.1687,56057682.0
2006-10-01,0.33,2.1483,55079075.0
2006-11-01,0.31,2.1579,57494944.0
2006-12-01,0.48,2.1499,68810851.0
2007-01-01,0.44,2.1385,59945896.0
2007-02-01,0.44,2.0963,58655943.0
2007-03-01,0.37,2.0887,58994611.0
2007-04-01,0.25,2.032,58592917.0
2007-05-01,0.28,1.9816,59215195.0
2007-06-01,0.28,1.9319,61275981.0
2007-07-01,0.24,1.8828,61182567.0
2007-08-01,0.47,1.966,63107254.0
2007-09-01,0.18,1.8996,66158600.0
2007-10-01,0.3,1.801,65378078.0
2007-11-01,0.38,1.7699,69336167.0
2007-12-01,0.74,1.786,82095431.0
